Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Rev_Date,index_id,Month,Year,Week
1,2010-05-02,1643690.9,0,42.31,2.572,211.0963582,8.106,2010-05-02,1-2010-05-02,5,2010,17
1,2010-12-02,1641957.44,1,38.51,2.548,211.24216980000003,8.106,2010-12-02,1-2010-12-02,12,2010,48
1,2010-02-19,1611968.17,0,39.93,2.5140000000000002,211.2891429,8.106,2010-02-19,1-2010-02-19,2,2010,7
1,2010-02-26,1409727.59,0,46.63,2.5610000000000004,211.3196429,8.106,2010-02-26,1-2010-02-26,2,2010,8
1,2010-05-03,1554806.68,0,46.5,2.625,211.3501429,8.106,2010-05-03,1-2010-05-03,5,2010,18
1,2010-12-03,1439541.59,0,57.79,2.667,211.3806429,8.106,2010-12-03,1-2010-12-03,12,2010,48
1,2010-03-19,1472515.79,0,54.58,2.72,211.21563500000002,8.106,2010-03-19,1-2010-03-19,3,2010,11
1,2010-03-26,1404429.92,0,51.45,2.7319999999999998,211.0180424,8.106,2010-03-26,1-2010-03-26,3,2010,12
1,2010-02-04,1594968.28,0,62.27,2.719,210.82044989999997,7.808,2010-02-04,1-2010-02-04,2,2010,5
1,2010-09-04,1545418.53,0,65.86,2.77,210.62285740000002,7.808,2010-09-04,1-2010-09-04,9,2010,35
1,2010-04-16,1466058.28,0,66.32,2.8080000000000003,210.4887,7.808,2010-04-16,1-2010-04-16,4,2010,15
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010-04-23,1-2010-04-23,4,2010,16
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010-04-30,1-2010-04-30,4,2010,17
1,2010-07-05,1603955.12,0,72.55,2.835,210.33996839999998,7.808,2010-07-05,1-2010-07-05,7,2010,27
1,2010-05-14,1494251.5,0,74.78,2.8539999999999996,210.3374261,7.808,2010-05-14,1-2010-05-14,5,2010,19
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010-05-21,1-2010-05-21,5,2010,20
1,2010-05-28,1432069.95,0,80.44,2.759,210.89676060000002,7.808,2010-05-28,1-2010-05-28,5,2010,21
1,2010-04-06,1615524.71,0,80.69,2.705,211.1764278,7.808,2010-04-06,1-2010-04-06,4,2010,14
1,2010-11-06,1542561.09,0,80.43,2.668,211.4560951,7.808,2010-11-06,1-2010-11-06,11,2010,44
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010-06-18,1-2010-06-18,6,2010,24
1,2010-06-25,1422711.6,0,84.34,2.653,211.33865260000002,7.808,2010-06-25,1-2010-06-25,6,2010,25
1,2010-02-07,1492418.14,0,80.91,2.6689999999999996,211.2235333,7.787000000000001,2010-02-07,1-2010-02-07,2,2010,5
1,2010-09-07,1546074.18,0,80.48,2.642,211.108414,7.787000000000001,2010-09-07,1-2010-09-07,9,2010,36
1,2010-07-16,1448938.92,0,83.15,2.623,211.10038540000002,7.787000000000001,2010-07-16,1-2010-07-16,7,2010,28
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787000000000001,2010-07-23,1-2010-07-23,7,2010,29
1,2010-07-30,1371986.6,0,81.84,2.64,211.36990319999995,7.787000000000001,2010-07-30,1-2010-07-30,7,2010,30
1,2010-06-08,1605491.78,0,87.16,2.627,211.5046621,7.787000000000001,2010-06-08,1-2010-06-08,6,2010,23
1,2010-08-13,1508237.76,0,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,2010-08-13,1-2010-08-13,8,2010,32
1,2010-08-20,1513080.49,0,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,2010-08-20,1-2010-08-20,8,2010,33
1,2010-08-27,1449142.92,0,85.22,2.6189999999999998,211.5673056,7.787000000000001,2010-08-27,1-2010-08-27,8,2010,34
1,2010-03-09,1540163.53,0,81.21,2.577,211.53124790000004,7.787000000000001,2010-03-09,1-2010-03-09,3,2010,10
1,2010-10-09,1507460.69,1,78.69,2.565,211.49519019999997,7.787000000000001,2010-10-09,1-2010-10-09,10,2010,40
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787000000000001,2010-09-17,1-2010-09-17,9,2010,37
1,2010-09-24,1351791.03,0,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,2010-09-24,1-2010-09-24,9,2010,38
1,2010-01-10,1453329.5,0,71.89,2.603,211.6719895,7.837999999999999,2010-01-10,1-2010-01-10,1,2010,1
1,2010-08-10,1508239.93,0,63.93,2.633,211.74675440000001,7.837999999999999,2010-08-10,1-2010-08-10,8,2010,32
1,2010-10-15,1459409.1,0,67.18,2.72,211.81374359999998,7.837999999999999,2010-10-15,1-2010-10-15,10,2010,41
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.837999999999999,2010-10-22,1-2010-10-22,10,2010,42
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.837999999999999,2010-10-29,1-2010-10-29,10,2010,43
1,2010-05-11,1551659.28,0,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,2010-05-11,1-2010-05-11,5,2010,19
1,2010-12-11,1494479.49,0,59.61,2.728,212.003944,7.837999999999999,2010-12-11,1-2010-12-11,12,2010,49
1,2010-11-19,1483784.18,0,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,2010-11-19,1-2010-11-19,11,2010,46
1,2010-11-26,1955624.11,1,64.52,2.735,211.74843330000002,7.837999999999999,2010-11-26,1-2010-11-26,11,2010,47
1,2010-03-12,1548033.78,0,49.27,2.708,211.60719300000002,7.837999999999999,2010-03-12,1-2010-03-12,3,2010,10
1,2010-10-12,1682614.26,0,46.33,2.843,211.4659526,7.837999999999999,2010-10-12,1-2010-10-12,10,2010,41
1,2010-12-17,1891034.93,0,49.84,2.8689999999999998,211.40531239999999,7.837999999999999,2010-12-17,1-2010-12-17,12,2010,50
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.837999999999999,2010-12-24,1-2010-12-24,12,2010,51
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.837999999999999,2010-12-31,1-2010-12-31,12,2010,52
1,2011-07-01,1444732.28,0,48.27,2.9760000000000004,211.40474190000003,7.742000000000001,2011-07-01,1-2011-07-01,7,2011,26
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742000000000001,2011-01-14,1-2011-01-14,1,2011,2
1,2011-01-21,1327405.42,0,44.04,3.016,211.82723430000004,7.742000000000001,2011-01-21,1-2011-01-21,1,2011,3
1,2011-01-28,1316899.31,0,43.83,3.01,212.19705770000002,7.742000000000001,2011-01-28,1-2011-01-28,1,2011,4
1,2011-04-02,1606629.58,0,42.27,2.989,212.56688119999998,7.742000000000001,2011-04-02,1-2011-04-02,4,2011,13
1,2011-11-02,1649614.93,1,36.39,3.022,212.9367046,7.742000000000001,2011-11-02,1-2011-11-02,11,2011,44
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742000000000001,2011-02-18,1-2011-02-18,2,2011,7
